Nr;Naam;Brouwerij;Kleur;alcohol
321;Kortrijk 800 ;Bockor (Vanderghinste);;6,9
322;Kriek ;Lindemans;Roodachtig;5,5
323;Kriek ;R. van Roy en Cie.;Roodachtig;4,3
324;Kriek ;Vander Linden;Roodachtig;6,5
325;Kriek ;Wets;Roodachtig;6
326;Kriek Belle-Vue ;Belle-Vue;Roodachtig;4,2
327;Kriek Belle-Vue Cuvee ;Belle-Vue;Roodachtig;4,2
328;Kriek Cantillon ;Cantillon;Roodachtig;5
329;Kriek Caves Bruegel ;Brabrux;Roodachtig;4,2
330;Kriek De Neve ;De Neve;Roodachtig;4,2
331;Kriek De Troch ;De Troch;Roodachtig;5,75
332;Kriek F. Boon ;Frank Boon;Roodachtig;6,5
333;Kriek Girardin ;Girardin;Roodachtig;5,1
334;Kriek Lambic ;Eylenbosch;Roodachtig;5
335;Kriek Lambic ;Timmermans;Roodachtig;5,5
336;Kriek Lambic Jacobins ;Bockor (Vanderghinste-;Roodachtig;6
337;Kriek Lambic Mort Subite ;De Keersmaeker;Roodachtig;5
338;Kriek Lambic St. Louis ;Van Honsebrouck;Roodachtig;5,5
339;Kriek Sherry Poesy Old Beersel ;Vandervelden;Roodachtig;7
340;Kriekenbier ;Sint-Jozef;Roodachtig;4
341;Kronenbourg ;Alken-Maes;Blond;4
342;Kronenbourg light ;Alken-Maes;Blond;2,9
343;Kruger Export ;Piedboeuf;Blond;4,5
344;Kruger Pils ;Piedboeuf;Blond;5
345;L Vapeur en Folie Blonde ;Brasserie … Vapeur;Blond;8
346;L Vapeur Rousse ;Brasserie … Vapeur;;8
347;La Bergeotte ;Brasserie du Bocq;;6,1
348;La Chouffe ;Brasserie d Achouffe;Amber;6,8
349;La Durboyse ;Lefebvre;;7
350;La Gauloise 6 ;Brasserie du Bocq;Bruin;6,4
351;La Gauloise 8 ;Brasserie du Bocq;Bruin;8
352;La Gaumaise Blonde ;Maire;Amber;4
353;La Meilleure Floreffe ;Lefebvre;Donker;8
354;La Moneuse ;Brasserie de Blaugies;;8
355;La Moneuse Sp‚ciale No‰l ;Brasserie de Blaugies;;8
356;La Montagnarde ;Eloir-Bertiau;;9
685;La poiluchette blanche ;Huyghe;Witbier;4,5
357;La Quenast ;Lefebvre;;5
358;La Thyloise ;Saint-Etienne;;7
359;La Vieille Bon-Secours ;Voisin;Amber;8
360;Lambic ;Eylenbosch;Goudgeel;5
361;Lambiek ;Cantillon;;5
362;Lambiek ;Vander Linden;Goudgeel;6
363;Lambiek ;Vandervelden;;5,5
364;Lambik Girardin-jonge ;Girardin;Goudgeel;5,1
365;Lambik Girardin-Kriek ;Girardin;Roodachtig;5,1
366;Lambik Girardin-oude ;Girardin;Goudgeel;5,1
367;Lamme Gisj ;Vander Linden;;8
368;Lamoral d Egmont ;Van Den Bossche;;8
369;Lamot Pilsor ;Piedboeuf;Blond;5
